50 9251 9251
2 841 725.0 135.0
2 842 770.0 133.0
2 843 776.0 133.0
2 844 776.0 135.0
2 845 766.0 136.0
2 846 772.0 136.0
2 847 783.0 133.0
2 848 785.0 133.0
2 849 784.0 136.0
2 850 1016.0 136.0
2 851 231.0 143.0
2 852 223.0 146.0
2 853 228.0 146.0
2 854 550.0 145.0
2 855 693.0 143.0
2 856 690.0 144.0
2 857 696.0 145.0
2 858 703.0 143.0
2 859 706.0 143.0
2 860 714.0 143.0
2 861 716.0 143.0
2 862 706.0 146.0
2 863 710.0 146.0
2 864 712.0 146.0
2 865 731.0 143.0
2 866 767.0 143.0
2 867 956.0 146.0
2 868 991.0 143.0
2 869 993.0 143.0
2 870 236.0 154.0
2 871 225.0 156.0
2 872 227.0 156.0
2 873 229.0 156.0
2 874 252.0 155.0
2 875 436.0 156.0
2 876 552.0 154.0
2 877 566.0 155.0
2 878 568.0 156.0
2 879 691.0 154.0
2 880 712.0 155.0
2 881 827.0 153.0
2 882 828.0 155.0
2 883 823.0 156.0
2 884 994.0 153.0
2 885 556.0 166.0
2 886 568.0 166.0
2 887 987.0 165.0
2 888 465.0 186.0
2 889 633.0 184.0
2 890 628.0 186.0
2 891 671.0 186.0
2 892 868.0 186.0
2 893 114.0 195.0
2 894 269.0 196.0
2 895 305.0 196.0
2 896 455.0 193.0
2 897 532.0 196.0
2 898 556.0 193.0
2 899 544.0 195.0
2 900 550.0 196.0
2 901 568.0 195.0
2 902 566.0 196.0
2 903 668.0 193.0
2 904 675.0 193.0
2 905 683.0 196.0
2 906 291.0 204.0
2 907 283.0 205.0
2 908 308.0 206.0
2 909 423.0 205.0
2 910 430.0 205.0
2 911 449.0 204.0
2 912 470.0 203.0
2 913 512.0 203.0
2 914 554.0 206.0
2 915 691.0 203.0
2 916 515.0 213.0
2 917 509.0 214.0
2 918 524.0 214.0
2 919 526.0 215.0
2 920 543.0 213.0
2 921 544.0 215.0
2 922 556.0 215.0
2 923 595.0 216.0
2 924 652.0 214.0
2 925 656.0 215.0
2 926 671.0 213.0
2 927 663.0 216.0
2 928 696.0 214.0
2 929 736.0 215.0
2 930 772.0 216.0
2 931 873.0 213.0
2 932 207.0 223.0
2 933 323.0 226.0
2 934 463.0 223.0
2 935 496.0 223.0
2 936 489.0 225.0
2 937 494.0 225.0
2 938 496.0 225.0
2 939 504.0 225.0
2 940 512.0 225.0
2 941 516.0 225.0
2 942 534.0 223.0
2 943 532.0 226.0
2 944 696.0 225.0
2 945 771.0 223.0
2 946 853.0 223.0
2 947 1084.0 225.0
2 948 232.0 233.0
2 949 276.0 235.0
2 950 475.0 234.0
2 951 475.0 236.0
2 952 1044.0 236.0
2 953 246.0 243.0
2 954 326.0 243.0
2 955 323.0 245.0
2 956 330.0 245.0
2 957 333.0 246.0
2 958 434.0 246.0
2 959 813.0 245.0
2 960 896.0 243.0
2 961 272.0 256.0
2 962 324.0 255.0
2 963 451.0 253.0
2 964 804.0 256.0
2 965 886.0 254.0
2 966 884.0 255.0
2 967 970.0 256.0
2 968 170.0 266.0
2 969 255.0 263.0
2 970 250.0 265.0
2 971 273.0 264.0
2 972 127.0 276.0
2 973 205.0 274.0
2 974 206.0 276.0
2 975 250.0 276.0
2 976 265.0 273.0
2 977 627.0 276.0
2 978 646.0 274.0
2 979 776.0 274.0
2 980 806.0 276.0
2 981 836.0 276.0
2 982 1124.0 273.0
2 983 132.0 285.0
2 984 307.0 285.0
